date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:26	32815/32815	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Dec%202017%2015:11:51%20GMT	https://colorlib.com/etc/fashe/index.html	C:/Users/usama/Desktop/Sraint%20Templates/Fashe/colorlib.com/etc/fashe/index.html	(from )
14:06:27	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
14:06:27	127/127	---M--	200	added ('OK')	image/png	etag:%225a2ff1e9-40c%22	https://colorlib.com/etc/fashe/images/icons/favicon.png	C:/Users/usama/Desktop/Sraint%20Templates/Fashe/colorlib.com/etc/fashe/images/icons/favicon.png	(from https://colorlib.com/etc/fashe/index.html)
14:06:27	124962/124962	---MCZ	200	added ('OK')	text/css	etag:W/%225a2ff3c1-1e822%22	https://colorlib.com/etc/fashe/vendor/bootstrap/css/bootstrap.min.css	C:/Users/usama/Desktop/Sraint%20Templates/Fashe/colorlib.com/etc/fashe/vendor/bootstrap/css/bootstrap.min.css	(from https://colorlib.com/etc/fashe/index.html)
14:06:27	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225a2ff3a1-7918%22	https://colorlib.com/etc/fashe/fonts/font-awesome-4.7.0/css/font-awesome.min.css	C:/Users/usama/Desktop/Sraint%20Templates/Fashe/colorlib.com/etc/fashe/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from https://colorlib.com/etc/fashe/index.html)
14:06:27	13847/13847	---MCZ	200	added ('OK')	text/css	etag:W/%225a2ff212-4033%22	https://colorlib.com/etc/fashe/fonts/themify/themify-icons.css	C:/Users/usama/Desktop/Sraint%20Templates/Fashe/colorlib.com/etc/fashe/fonts/themify/themify-icons.css	(from https://colorlib.com/etc/fashe/index.html)
14:06:28	7354/7354	---MCZ	200	added ('OK')	text/css	etag:W/%225a2ff209-1cba%22	https://colorlib.com/etc/fashe/fonts/Linearicons-Free-v1.0.0/icon-font.min.css	C:/Users/usama/Desktop/Sraint%20Templates/Fashe/colorlib.com/etc/fashe/fonts/Linearicons-Free-v1.0.0/icon-font.min.css	(from https://colorlib.com/etc/fashe/index.html)
14:06:28	21744/21744	---MCZ	200	added ('OK')	text/css	etag:W/%225a2ff237-6295%22	https://colorlib.com/etc/fashe/fonts/elegant-font/html-css/style.css	C:/Users/usama/Desktop/Sraint%20Templates/Fashe/colorlib.com/etc/fashe/fonts/elegant-font/html-css/style.css	(from https://colorlib.com/etc/fashe/index.html)
14:06:28	17502/17502	---MCZ	200	added ('OK')	text/css	etag:W/%225a2ff21b-5d28%22	https://colorlib.com/etc/fashe/vendor/animate/animate.css	C:/Users/usama/Desktop/Sraint%20Templates/Fashe/colorlib.com/etc/fashe/vendor/animate/animate.css	(from https://colorlib.com/etc/fashe/index.html)
14:06:28	19686/19686	---MCZ	200	added ('OK')	text/css	etag:W/%225a2ff21e-4ce6%22	https://colorlib.com/etc/fashe/vendor/css-hamburgers/hamburgers.min.css	C:/Users/usama/Desktop/Sraint%20Templates/Fashe/colorlib.com/etc/fashe/vendor/css-hamburgers/hamburgers.min.css	(from https://colorlib.com/etc/fashe/index.html)
